Iteration CurSyncRatio NextSyncRatio
1118 27.0919 36.7199
1119 27.0919 27.1125
1120 27.1125 28.0245
1121 27.1125 25.0393
1122 25.0393 28.7575
1123 25.0393 26.7939
1124 25.0393 28.0718
1125 25.0393 33.5127
1126 25.0393 27.9034
1127 25.0393 26.8123
1128 25.0393 25.4535
1129 25.0393 26.622
1130 25.0393 27.7402
1131 25.0393 32.1865
1132 25.0393 27.811
1133 25.0393 25.8525
1134 25.0393 29.6439
1135 25.0393 29.2073
1136 25.0393 44.7191
1137 25.0393 25.7168
1138 25.0393 26.6082
1139 25.0393 27.9522
1140 25.0393 31.8705
1141 25.0393 22.5572
1142 22.5572 25.1176
1143 22.5572 44.7863
1144 22.5572 29.4094
1145 22.5572 29.6612
1146 22.5572 46.8876
1147 22.5572 25.2967
1148 22.5572 31.6864
1149 22.5572 37.5949
1150 22.5572 35.0349
1151 22.5572 37.6567
1152 22.5572 28.0378
1153 22.5572 22.8973
1154 22.8973 33.413
1155 22.8973 24.8935
1156 22.8973 45.0387
1157 22.8973 29.1988
1158 22.8973 25.8364
1159 22.8973 26.7235
1160 22.8973 25.117
1161 22.8973 37.6326
1162 22.8973 28.3972
1163 22.8973 24.5324
